Dates,Total Entries,Total Exits
2018-04-02,4607939,3550123
2018-04-03,5197419,3973382
2018-04-04,5294617,4055329
2018-04-05,5426063,4148153
2018-04-06,5123386,3928224
2018-04-07,3021855,2474441
2018-04-08,2368201,2007572
2018-04-09,5447876,4077695
2018-04-10,5627840,4200838
2018-04-11,5684416,4258769
2018-04-12,5753728,4307380
2018-04-13,5693394,4305709
2018-04-14,3351487,2701844
2018-04-15,2185490,1818358
2018-04-16,5104399,3853603
2018-04-17,5729876,4297058
2018-04-18,5809842,4343330
2018-04-19,5769572,4317086
2018-04-20,5768135,4336783
2018-04-21,3225458,2605549
2018-04-22,2530707,2081158
2018-04-23,5562271,4156892
2018-04-24,5718126,4296140
2018-04-25,5585601,4210669
2018-04-26,5903906,4448983
2018-04-27,5610553,4240551
2018-04-28,3176227,2583320
2018-04-29,2449144,2008485
2018-04-30,5567840,4158796
2018-05-01,5827607,4345015
2018-05-02,5862003,4383242
2018-05-03,5900327,4421051
2018-05-04,5734304,4319685
2018-05-05,3210110,2663550
2018-05-06,2395318,1988217
2018-05-07,5571646,4164499
2018-05-08,5819245,4347253
2018-05-09,5867474,4389315
2018-05-10,5825237,4354088
2018-05-11,5757884,4313638
2018-05-12,2913624,2373289
2018-05-13,2230381,1837819
2018-05-14,5534750,4143501
2018-05-15,5771060,4309373
2018-05-16,5814625,4351956
2018-05-17,5778330,4332590
2018-05-18,5675384,4285626
2018-05-19,2872210,2346031
2018-05-20,2467657,2009985
2018-05-21,5437873,4084672
2018-05-22,5652158,4235753
2018-05-23,5793965,4344763
2018-05-24,5755987,4340414
2018-05-25,5358931,4066095
2018-05-26,2834582,2284023
2018-05-27,2119163,1753299
2018-05-28,2431303,1935560
2018-05-29,5486158,4128101
2018-05-30,5707490,4298906
2018-05-31,5651166,4271383
2018-06-01,5597456,4227615
2018-06-02,3032261,2441966
2018-06-03,2442084,1996781
2018-06-04,5452736,4100108
2018-06-05,5649586,4265354
2018-06-06,5759744,4372346
2018-06-07,5625039,4254511
2018-06-08,5643314,4247978
2018-06-09,3161580,2550316
2018-06-10,2428088,1991877
2018-06-11,5428286,4110921
2018-06-12,5696666,4286055
2018-06-13,5656956,4266000
2018-06-14,5746009,4324721
2018-06-15,5360259,4066104
2018-06-16,3128654,2519918
2018-06-17,2396889,1968177
2018-06-18,5291615,4000302
2018-06-19,5607686,4227308
2018-06-20,5644878,4257045
2018-06-21,5689088,4265996
2018-06-22,5435073,4121281
2018-06-23,2921020,2393015
2018-06-24,2774791,2265730
2018-06-25,5331364,4062318
2018-06-26,5586817,4265708
2018-06-27,5415198,4134675
2018-06-28,5309635,4036844
2018-06-29,5288522,4043194
2018-06-30,2929941,2365152
2018-07-01,2253625,1847635
2018-07-02,4871434,3746864
2018-07-03,4914260,3776924
2018-07-04,2561721,2106284
2018-07-05,4703048,3700740
2018-07-06,4585514,3557962
2018-07-07,2799757,2287221
2018-07-08,2310168,1902963
2018-07-09,5157205,3946727
2018-07-10,5367868,4101994
2018-07-11,5434852,4139274
2018-07-12,5468351,4152175
2018-07-13,5265486,4014783
